Galaxy_ID,R_d_kpc,Area_kpc2,Log_Area,Chi_Baryon,Alpha_GVS
CamB,1.21,18.398423216483263,1.2647806046549963,1.0087875185852095,12.962633040102956
D512-2,2.37,70.58404710379403,1.848706556042304,0.544565515555361,0.9497736598069358
D564-8,0.72,6.5144065264837945,0.8138748568846331,0.2594269197493949,26.096962010445313
D631-7,1.22,18.703786022412192,1.2719295253715928,0.3522991531410797,13.101898549152365
DDO064,1.2,18.09557368467721,1.257572356117346,0.4969118066701141,0.3819247830446544
DDO154,0.65,5.3092915845667505,0.7250365773078074,0.13522031295241815,3.845208192230474
DDO161,2.04,52.29620794871713,1.7184701988738937,0.2812858565621492,4.373741216982434
DDO168,1.29,20.9116973393551,1.3203892846205942,0.312144479931525,14.70818074094177
DDO170,3.03,115.37059197337013,2.0620951210267062,0.5151380131091731,1.4258267246817293
ESO079-G014,7.23,656.8806344873357,2.817486458611158,0.568146677951781,0.5713662204371467
ESO116-G012,2.75,95.03317777109125,1.9778752516826215,0.4882011290693782,5.2817618116657
ESO444-G084,0.75,7.0685834705770345,0.8493323908054963,0.38842270075470003,25.992542634870397
ESO563-G021,10.59,1409.294588296214,3.149001784237066,0.5289808327531236,1.410720935349875
F561-1,5.39,365.07945572542405,2.5623873943955737,0.6207660241098331,0.0
F563-1,4.61,267.0617649334226,2.4266117148013926,0.3071952065275177,1.5573274444306684
F563-V1,5.01,315.4171590574766,2.4988853157565876,0.5001690775287823,0.0
F563-V2,4.49,253.3392882225424,2.4037025460287427,0.5650285778852965,0.5304945700249881
F565-V2,3.57,160.15713684294622,2.2045462962464826,0.6242917337777616,1.4777640206537925
F567-2,5.43,370.5181809273187,2.56880952319979,0.33073145072897336,0.22301395697708132
F568-1,7.0,615.7521601035994,2.78940594405061,0.6246470906660087,0.6648342728388638
F568-3,7.47,701.2147900147947,2.8458510676528936,0.5609210492249498,1.1385614898721537
F568-V1,4.4,243.28493509399362,2.386115216994471,0.3921012795319745,0.9074911607518402
F571-8,1.4,24.630086404143974,1.391465935378572,0.28732983745996854,33.63905075331632
F571-V1,4.38,241.0782804141121,2.3821580850302952,0.5531394444426082,3.1586537918916897
F574-1,5.87,432.99817562191265,2.636486066517325,0.3706925209413921,0.48398026086523016
F574-2,6.48,527.6669286451875,2.7223598757632828,0.5915862006842606,0.16569278167885487
F579-V1,5.76,416.92201769496285,2.6200548308685203,0.5090989687294901,0.168907800565094
F583-1,3.74,175.7733656054104,2.2449530684230568,0.4478725991609628,0.881417294018477
F583-4,3.31,137.67841308798054,2.138865851573534,0.4368086882652167,0.8557632547654856
IC2574,3.18,127.0761662006457,2.1040641039909618,0.4020544513173068,0.599720501542102
IC4202,8.55,918.6331078361915,2.9631420934784414,0.6993540336539548,0.08244960972316902
KK98-251,1.28,20.588741614566068,1.3136298033178329,0.6246835163291152,1.1917466262447913
NGC0024,2.01,50.76939391907248,1.7056019788630739,0.45370914150500585,4.307161906086211
NGC0055,3.67,169.25518916774226,2.228541992526275,0.4889583806191401,1.7430419571518243
NGC0100,2.81,99.22531900804147,1.996622503832256,0.25445937504506616,3.2076930213883106
NGC0247,5.87,432.99817562191265,2.636486066517325,0.6422890129602035,0.1614929493398273
NGC0289,2.69,90.9315144025644,1.958714424026912,0.22134233083546162,1.8042858054501392
NGC0300,1.77,39.36918249772585,1.5951563967457094,0.26663026248047084,5.840088699981984
NGC0801,7.76,756.7166791072349,2.8789333065384732,0.3826614409815348,0.6316217608290372
NGC0891,3.68,170.17881740789767,2.2309055013691315,0.8892341947233339,3.2716212051596427
NGC1003,2.76,95.72558479194241,1.9810280281525314,0.20127276084821086,5.6110519041452855
NGC1090,6.36,508.3046648025828,2.706124095318924,0.4588796276608409,0.8755493680734207
NGC1705,0.49,3.017185584507637,0.4796020240791235,0.3167034692311849,19.00203835819967
NGC2366,1.08,14.65741468458854,1.1660573749959957,0.20939502617901495,0.45017935674789394
NGC2403,2.16,58.62965873835416,1.768117366323958,0.311479169477931,3.826215327729878
NGC2683,3.34,140.18540402554518,2.1467027976452253,0.5676393639444386,3.8715023025010913
NGC2841,5.51,381.5162684890059,2.581513061725666,0.8461414321578834,3.483319508970704
NGC2903,4.54,259.0130045549255,2.413321569736304,1.0815460604185623,5.5079111501939275
NGC2915,0.53,3.529893505573492,0.5477616032236743,0.155024057490246,10.53917791961591
NGC2955,7.22,655.0647939335606,2.8162842591613746,0.6930549760557124,0.2774937677888891
NGC2976,1.31,21.56514861130178,1.3337524553336249,0.6559732319311367,0.1748479394618198
NGC2998,7.06,626.3531503538728,2.796819266125704,0.3822443950177109,0.544922785580969
NGC3109,1.64,33.79851040438042,1.528897560117492,0.24598637190954506,5.559713022179896
NGC3198,5.84,428.5836096250881,2.632035558246895,0.4149326845366752,1.0229223795120272
NGC3521,2.45,75.42963961269095,1.8775420327511612,0.47685403985240143,1.8064133717967719
NGC3726,7.52,710.6332847902569,2.851645545205381,0.6902017313056832,1.7212644909911425
NGC3741,0.32,1.2867963509103792,0.10950982066190817,0.05922151255024417,4.8997034253274805
NGC3769,2.18,59.72041970768054,1.7761228512313059,0.29645077549737936,3.7096698759470144
NGC3877,4.39,242.18035111699137,2.384138904506339,0.5663974248885884,0.0
NGC3893,2.43,74.20316184072948,1.8704224112187207,0.3533363039246978,2.9683952166693377
NGC3917,5.56,388.47175462405363,2.589359447186211,0.6278988786069846,0.404309515663612
NGC3949,2.39,71.78036558628104,1.8560056659183717,0.4851728665144469,1.439904588996503
NGC3953,6.17,478.3879062809779,2.6797801920885798,0.5973380827624846,0.09082949935640325
NGC3972,3.73,174.83465772051773,2.2426275276394714,0.6189259074026819,0.5808942052870015
NGC3992,9.99,1254.1250439501068,3.098340840474061,0.52370047091101,0.8890773366830041
NGC4010,6.63,552.3786964583247,2.7422369208316426,0.7518542455709051,1.2180937237960034
NGC4013,4.11,212.2723890548166,2.3268935077742348,0.6700755567260727,3.7249630483865777
NGC4051,6.87,593.0937372488485,2.7731233381411973,0.6231548787710656,0.0
NGC4068,1.11,15.483025233951938,1.1898558215954111,0.51967723788378,1.3103846346414034
NGC4085,2.0,50.26548245743669,1.7012698553500587,0.4628613196054221,2.8720058741804135
NGC4088,6.1,467.59465056030473,2.66986953404363,0.7879897991063033,1.6221751367703219
NGC4100,4.93,305.4243811449382,2.484903702576556,0.7422005518914144,1.1317596437285453
NGC4138,1.91,45.8433766382437,1.6612765985175513,0.6203856160863643,3.0747727488593806
NGC4157,4.44,247.728403743231,2.393975804251336,0.5413661484923403,1.3101416009636861
NGC4183,4.47,251.08739460844916,2.399824910285969,0.46248486672862865,0.3513812838315225
NGC4214,0.7,6.157521601035993,0.7894059440506098,0.2564365641767826,14.837470061154189
NGC4217,5.28,350.3303065353508,2.544477709089721,2.0658624944151884,0.0
NGC4389,4.05,206.1198940020263,2.314119910451433,1.0042377096760426,6.96369745766086
NGC4559,3.82,183.3735065529748,2.2633365898455136,0.35953488872393324,2.2691802675351136
NGC5005,3.97,198.0573106158535,2.2967908775483266,0.8991175318312332,0.6054917805089858
NGC5033,2.94,108.61868104227493,2.0359045248464107,0.7920005128543436,3.0781603908792006
NGC5055,4.18,219.56465392232917,2.3415624275721667,0.4169072846495513,1.9966532073241081
NGC5371,9.8,1206.8742338030552,3.081662015407086,0.5626307445974841,0.15122508588743439
